class,feature,coefficient
Decision,decision,17.45223551355018
Decision,this decision,12.605858139330646
Decision,decision of,6.385751981528342
Decision,commission decision,4.976938178947178
Decision,decision is,4.396967624670948
Decision,ec the,3.902190151284895
Decision,decision shall,3.6273668809696202
Decision,decision are,2.8160672339315003
Decision,addressed,2.803069199154492
Decision,addressed to,2.793012107430393
Directive,this directive,17.510314893377995
Directive,directive,14.898726605557071
Directive,directive is,5.1995987657512535
Directive,directive of,4.658972291406133
Directive,states shall,4.205762846193394
Directive,shall,2.631395965234028
Directive,member,2.549442008828582
Directive,they,2.540609652955637
Directive,member states,2.4394061494527497
Directive,directive shall,2.4388694471532406
Regulation,regulation,13.974085703678497
Regulation,this regulation,10.948063858121763
Regulation,regulation shall,6.578931724314538
Regulation,shall,5.212184974409274
Regulation,no,4.429581638755987
Regulation,in,4.30023071330205
Regulation,be,3.4323732140446075
Regulation,applicable,3.371793869762363
Regulation,its,3.277703040897881
Regulation,entirety,3.1485417665322193
